ENSMUSG00000059920.9	4930453N24RIK	ENSMUSG00000059920
ENSMUSG00000051098.5	MBLAC2	ENSMUSG00000051098
ENSMUSG00000051111.15	SV2C	ENSMUSG00000051111
ENSMUSG00000051136.1	GHSR	ENSMUSG00000051136
ENSMUSG00000051146.2	CAMK2N2	ENSMUSG00000051146
ENSMUSG00000051149.15	ADNP	ENSMUSG00000051149
ENSMUSG00000051154.11	COMMD3	ENSMUSG00000051154
ENSMUSG00000051166.9	EML5	ENSMUSG00000051166
ENSMUSG00000051169.14	RPUSD3	ENSMUSG00000051169
ENSMUSG00000051176.6	ZFP42	ENSMUSG00000051176
ENSMUSG00000051177.16	PLCB1	ENSMUSG00000051177
ENSMUSG00000051185.9	FAM174A	ENSMUSG00000051185
ENSMUSG00000051209.3	GPR119	ENSMUSG00000051209
ENSMUSG00000051212.7	GPR183	ENSMUSG00000051212
ENSMUSG00000051220.2	ERCC6L	ENSMUSG00000051220
ENSMUSG00000051223.14	BZW1	ENSMUSG00000051223
ENSMUSG00000051224.13	TCEANC	ENSMUSG00000051224
ENSMUSG00000051228.5	NYX	ENSMUSG00000051228
ENSMUSG00000051232.13	TMEM199	ENSMUSG00000051232
ENSMUSG00000051234.6	RNF7	ENSMUSG00000051234
ENSMUSG00000051235.8	GEN1	ENSMUSG00000051235
ENSMUSG00000051236.13	MSRB3	ENSMUSG00000051236
ENSMUSG00000051238.6	SWSAP1	ENSMUSG00000051238
ENSMUSG00000051243.14	ISLR2	ENSMUSG00000051243
ENSMUSG00000051246.3	MSANTD1	ENSMUSG00000051246
ENSMUSG00000051251.3	NHLH1	ENSMUSG00000051251
ENSMUSG00000051276.4	ACTRT2	ENSMUSG00000051276
ENSMUSG00000051279.2	GDF6	ENSMUSG00000051279
ENSMUSG00000051285.17	PCMTD1	ENSMUSG00000051285
ENSMUSG00000051306.7	USP42	ENSMUSG00000051306
ENSMUSG00000051314.11	FFAR2	ENSMUSG00000051314
ENSMUSG00000051316.8	TAF7	ENSMUSG00000051316
ENSMUSG00000051323.16	PCDH19	ENSMUSG00000051323
ENSMUSG00000051329.13	NUP160	ENSMUSG00000051329
ENSMUSG00000051331.14	CACNA1C	ENSMUSG00000051331
ENSMUSG00000051335.5	GFOD1	ENSMUSG00000051335
ENSMUSG00000051343.11	RAB11FIP5	ENSMUSG00000051343
ENSMUSG00000051344.13	PLEKHM3	ENSMUSG00000051344
ENSMUSG00000051346.8	SPRYD4	ENSMUSG00000051346
ENSMUSG00000051354.13	SAMD3	ENSMUSG00000051354
ENSMUSG00000051359.14	NCALD	ENSMUSG00000051359
ENSMUSG00000051367.8	SIX1	ENSMUSG00000051367
ENSMUSG00000051378.10	KIF18B	ENSMUSG00000051378
ENSMUSG00000051379.12	FLRT3	ENSMUSG00000051379
ENSMUSG00000051390.9	ZBTB22	ENSMUSG00000051390
ENSMUSG00000051391.9	YWHAG	ENSMUSG00000051391
ENSMUSG00000051401.6	KCTD16	ENSMUSG00000051401
ENSMUSG00000051403.9	PPP1R37	ENSMUSG00000051403
ENSMUSG00000051413.17	PLAGL2	ENSMUSG00000051413
ENSMUSG00000051427.14	CCDC157	ENSMUSG00000051427
ENSMUSG00000051431.7	GPR87	ENSMUSG00000051431
ENSMUSG00000051435.11	FHAD1	ENSMUSG00000051435
ENSMUSG00000051439.6	CD14	ENSMUSG00000051439
ENSMUSG00000051444.9	BBS12	ENSMUSG00000051444
ENSMUSG00000051451.6	CREBZF	ENSMUSG00000051451
ENSMUSG00000051455.13	MEIOC	ENSMUSG00000051455
ENSMUSG00000051456.4	HSPB3	ENSMUSG00000051456
ENSMUSG00000051495.7	IRF2BP2	ENSMUSG00000051495
ENSMUSG00000051497.15	KCNJ16	ENSMUSG00000051497
ENSMUSG00000051506.16	WDFY4	ENSMUSG00000051506
ENSMUSG00000051510.13	MAFG	ENSMUSG00000051510
ENSMUSG00000051515.9	FAM181B	ENSMUSG00000051515
ENSMUSG00000051517.14	ARHGEF39	ENSMUSG00000051517
ENSMUSG00000051518.7	RPS19BP1	ENSMUSG00000051518
ENSMUSG00000051557.15	PUSL1	ENSMUSG00000051557
ENSMUSG00000051579.10	TCEAL8	ENSMUSG00000051579
ENSMUSG00000051586.16	MICAL3	ENSMUSG00000051586
ENSMUSG00000051596.13	OTOP1	ENSMUSG00000051596
ENSMUSG00000051599.4	PCDHB2	ENSMUSG00000051599
ENSMUSG00000051648.13	KCTD19	ENSMUSG00000051648
ENSMUSG00000051652.4	LRRC3	ENSMUSG00000051652
ENSMUSG00000051663.4	PCDHB1	ENSMUSG00000051663
ENSMUSG00000051674.14	DCUN1D4	ENSMUSG00000051674
ENSMUSG00000051675.13	TRIM32	ENSMUSG00000051675
ENSMUSG00000051678.4	PCDHB6	ENSMUSG00000051678
ENSMUSG00000051703.14	TMEM198	ENSMUSG00000051703
ENSMUSG00000051730.15	METTL5	ENSMUSG00000051730
ENSMUSG00000051735.7	RINL	ENSMUSG00000051735
ENSMUSG00000051768.9	XRCC1	ENSMUSG00000051768
ENSMUSG00000051786.14	TUBGCP6	ENSMUSG00000051786
ENSMUSG00000051790.15	NLGN2	ENSMUSG00000051790
ENSMUSG00000051811.14	COX6B2	ENSMUSG00000051811
ENSMUSG00000051817.8	SOX12	ENSMUSG00000051817
ENSMUSG00000051855.15	MEST	ENSMUSG00000051855
ENSMUSG00000051860.13	SAMD7	ENSMUSG00000051860
ENSMUSG00000051864.9	TBC1D22A	ENSMUSG00000051864
ENSMUSG00000051879.3	KRT71	ENSMUSG00000051879
ENSMUSG00000051890.13	KLHDC1	ENSMUSG00000051890
ENSMUSG00000051896.4	TEX37	ENSMUSG00000051896
ENSMUSG00000051910.13	SOX6	ENSMUSG00000051910
ENSMUSG00000051920.6	RSPO2	ENSMUSG00000051920
ENSMUSG00000051950.10	B3GLCT	ENSMUSG00000051950
ENSMUSG00000051956.4	RNF133	ENSMUSG00000051956
ENSMUSG00000051980.13	CASR	ENSMUSG00000051980
ENSMUSG00000051984.13	SEC31B	ENSMUSG00000051984
ENSMUSG00000051998.14	LAX1	ENSMUSG00000051998
ENSMUSG00000052013.14	BTLA	ENSMUSG00000052013
ENSMUSG00000052026.7	SLC6A7	ENSMUSG00000052026
ENSMUSG00000052033.13	PFDN4	ENSMUSG00000052033
ENSMUSG00000052040.10	KLF13	ENSMUSG00000052040
ENSMUSG00000052062.14	PARD3B	ENSMUSG00000052062
ENSMUSG00000052085.6	DOCK8	ENSMUSG00000052085
ENSMUSG00000052087.13	RGS14	ENSMUSG00000052087
ENSMUSG00000052102.14	GNPDA1	ENSMUSG00000052102
ENSMUSG00000052105.16	MTCL1	ENSMUSG00000052105
ENSMUSG00000052133.16	SEMA5B	ENSMUSG00000052133
ENSMUSG00000052135.8	FOXO6	ENSMUSG00000052135
ENSMUSG00000052139.18	BRE	ENSMUSG00000052139
ENSMUSG00000052142.15	RASAL3	ENSMUSG00000052142
ENSMUSG00000052144.8	PPP4R2	ENSMUSG00000052144
ENSMUSG00000052146.15	RPS10	ENSMUSG00000052146
ENSMUSG00000052155.5	ACVR2A	ENSMUSG00000052155
ENSMUSG00000052160.6	PLD4	ENSMUSG00000052160
ENSMUSG00000052214.9	OPA3	ENSMUSG00000052214
ENSMUSG00000052221.7	PPP1R36	ENSMUSG00000052221
ENSMUSG00000052229.5	GPR17	ENSMUSG00000052229
ENSMUSG00000052234.2	EPX	ENSMUSG00000052234
ENSMUSG00000052271.7	BHLHA15	ENSMUSG00000052271
ENSMUSG00000052273.4	DNAH3	ENSMUSG00000052273
ENSMUSG00000052276.8	OSTN	ENSMUSG00000052276
ENSMUSG00000052293.14	TAF9	ENSMUSG00000052293
ENSMUSG00000052296.7	PPP6R1	ENSMUSG00000052296
ENSMUSG00000052298.12	CDC42SE2	ENSMUSG00000052298
ENSMUSG00000052299.8	LTN1	ENSMUSG00000052299
ENSMUSG00000052301.14	DOC2A	ENSMUSG00000052301
ENSMUSG00000052310.9	SLC39A1	ENSMUSG00000052310
ENSMUSG00000052331.14	ANKRD44	ENSMUSG00000052331
ENSMUSG00000052336.7	CX3CR1	ENSMUSG00000052336
ENSMUSG00000052337.15	IMMT	ENSMUSG00000052337
ENSMUSG00000052353.13	CEMIP	ENSMUSG00000052353
ENSMUSG00000052363.7	ZDHHC19	ENSMUSG00000052363
ENSMUSG00000052369.7	TMEM106C	ENSMUSG00000052369
ENSMUSG00000052372.10	IL1RAPL1	ENSMUSG00000052372
ENSMUSG00000052373.14	MPP3	ENSMUSG00000052373
ENSMUSG00000052374.14	ACTN2	ENSMUSG00000052374
ENSMUSG00000052384.13	NRROS	ENSMUSG00000052384
ENSMUSG00000052387.15	TRPM3	ENSMUSG00000052387
ENSMUSG00000052395.15	RFT1	ENSMUSG00000052395
ENSMUSG00000052396.7	MOGAT2	ENSMUSG00000052396
ENSMUSG00000052397.8	EZR	ENSMUSG00000052397
ENSMUSG00000052406.14	REXO4	ENSMUSG00000052406
ENSMUSG00000052407.16	CCDC171	ENSMUSG00000052407
ENSMUSG00000052423.14	B4GALT3	ENSMUSG00000052423
ENSMUSG00000052430.15	BMPR1B	ENSMUSG00000052430
ENSMUSG00000052435.6	CEBPE	ENSMUSG00000052435
ENSMUSG00000052456.9	ASNA1	ENSMUSG00000052456
ENSMUSG00000052468.7	PMP2	ENSMUSG00000052468
ENSMUSG00000052485.7	TMEM171	ENSMUSG00000052485
ENSMUSG00000052488.7	CHERP	ENSMUSG00000052488
ENSMUSG00000052504.6	EPHA3	ENSMUSG00000052504
ENSMUSG00000052512.17	NAV2	ENSMUSG00000052512
ENSMUSG00000052516.17	ROBO2	ENSMUSG00000052516
ENSMUSG00000052525.14	SPDYA	ENSMUSG00000052525
ENSMUSG00000052533.14	NUP188	ENSMUSG00000052533
ENSMUSG00000052534.15	PBX1	ENSMUSG00000052534
ENSMUSG00000052539.15	MAGI3	ENSMUSG00000052539
ENSMUSG00000052544.9	ST6GALNAC3	ENSMUSG00000052544
ENSMUSG00000052551.15	ADARB2	ENSMUSG00000052551
ENSMUSG00000052557.11	GAN	ENSMUSG00000052557
ENSMUSG00000052560.15	CPNE8	ENSMUSG00000052560
ENSMUSG00000052566.8	HOOK2	ENSMUSG00000052566
ENSMUSG00000052581.13	LRRTM4	ENSMUSG00000052581
ENSMUSG00000052584.9	SERP2	ENSMUSG00000052584
ENSMUSG00000052593.15	ADAM17	ENSMUSG00000052593
ENSMUSG00000052595.6	A1CF	ENSMUSG00000052595
ENSMUSG00000052609.8	PLEKHG3	ENSMUSG00000052609
ENSMUSG00000052613.16	PCDH15	ENSMUSG00000052613
ENSMUSG00000052616.10	TERB1	ENSMUSG00000052616
ENSMUSG00000052631.14	SH2D6	ENSMUSG00000052631
ENSMUSG00000052632.15	ASAP2	ENSMUSG00000052632
ENSMUSG00000052656.12	RNF103	ENSMUSG00000052656
ENSMUSG00000052676.16	ZMAT1	ENSMUSG00000052676
ENSMUSG00000052681.7	RAP1B	ENSMUSG00000052681
ENSMUSG00000052684.4	JUN	ENSMUSG00000052684
ENSMUSG00000052688.12	RAB7B	ENSMUSG00000052688
ENSMUSG00000052698.15	TLN2	ENSMUSG00000052698
ENSMUSG00000052726.15	KCNT2	ENSMUSG00000052726
ENSMUSG00000052727.5	MAP1B	ENSMUSG00000052727
ENSMUSG00000052738.14	SUCLG1	ENSMUSG00000052738
ENSMUSG00000052748.14	SWT1	ENSMUSG00000052748
ENSMUSG00000052751.16	REPIN1	ENSMUSG00000052751
ENSMUSG00000052752.15	TRAF7	ENSMUSG00000052752
ENSMUSG00000052759.7	GPR25	ENSMUSG00000052759
ENSMUSG00000052783.16	GRK4	ENSMUSG00000052783
ENSMUSG00000052798.12	NUP107	ENSMUSG00000052798
ENSMUSG00000052812.4	ATAD2B	ENSMUSG00000052812
ENSMUSG00000052819.6	BEST2	ENSMUSG00000052819
ENSMUSG00000052833.9	SAE1	ENSMUSG00000052833
ENSMUSG00000052837.6	JUNB	ENSMUSG00000052837
ENSMUSG00000052852.8	REEP1	ENSMUSG00000052852
ENSMUSG00000052861.13	DNAH6	ENSMUSG00000052861
ENSMUSG00000052889.11	PRKCB	ENSMUSG00000052889
ENSMUSG00000052911.9	LAMB2	ENSMUSG00000052911
ENSMUSG00000052915.14	MSL1	ENSMUSG00000052915
ENSMUSG00000052917.14	SENP7	ENSMUSG00000052917
ENSMUSG00000052920.14	PRKG1	ENSMUSG00000052920
ENSMUSG00000052921.13	ARHGEF15	ENSMUSG00000052921
ENSMUSG00000052922.9	BPI	ENSMUSG00000052922
ENSMUSG00000052926.15	RNASEH2A	ENSMUSG00000052926
ENSMUSG00000052928.8	CTIF	ENSMUSG00000052928
ENSMUSG00000052934.14	FBXO31	ENSMUSG00000052934
ENSMUSG00000052942.13	GLIS3	ENSMUSG00000052942
ENSMUSG00000052949.14	RNF157	ENSMUSG00000052949
ENSMUSG00000052955.5	CPVL	ENSMUSG00000052955
ENSMUSG00000052957.7	GAS1	ENSMUSG00000052957
ENSMUSG00000052981.5	UBE2QL1	ENSMUSG00000052981
ENSMUSG00000052997.15	UBA2	ENSMUSG00000052997
ENSMUSG00000053004.9	HRH1	ENSMUSG00000053004
ENSMUSG00000053024.14	CNTN2	ENSMUSG00000053024
ENSMUSG00000053025.13	SV2B	ENSMUSG00000053025
ENSMUSG00000053046.15	BRSK2	ENSMUSG00000053046
ENSMUSG00000053062.15	JAM2	ENSMUSG00000053062
ENSMUSG00000053093.15	MYH7	ENSMUSG00000053093
ENSMUSG00000053094.15	TMEM248	ENSMUSG00000053094
ENSMUSG00000053101.2	GPR141	ENSMUSG00000053101
ENSMUSG00000053111.13	FANK1	ENSMUSG00000053111
ENSMUSG00000053113.3	SOCS3	ENSMUSG00000053113
ENSMUSG00000053129.5	GSX1	ENSMUSG00000053129
ENSMUSG00000053134.13	SUPT7L	ENSMUSG00000053134
ENSMUSG00000053137.6	MAPK11	ENSMUSG00000053137
ENSMUSG00000053141.16	PTPRT	ENSMUSG00000053141
ENSMUSG00000053158.10	FES	ENSMUSG00000053158
ENSMUSG00000053161.16	DAW1	ENSMUSG00000053161
ENSMUSG00000053166.14	CDH22	ENSMUSG00000053166
ENSMUSG00000053175.17	BCL3	ENSMUSG00000053175
ENSMUSG00000053184.15	SPACA3	ENSMUSG00000053184
ENSMUSG00000053194.2	CIB4	ENSMUSG00000053194
ENSMUSG00000053199.13	ARHGAP20	ENSMUSG00000053199
ENSMUSG00000053226.6	DAND5	ENSMUSG00000053226
ENSMUSG00000053289.8	DDX10	ENSMUSG00000053289
ENSMUSG00000053291.15	RAB4B	ENSMUSG00000053291
ENSMUSG00000053310.11	NRGN	ENSMUSG00000053310
ENSMUSG00000053317.11	SEC61B	ENSMUSG00000053317
ENSMUSG00000053318.7	SLAMF8	ENSMUSG00000053318
ENSMUSG00000053333.15	DIS3L2	ENSMUSG00000053333
ENSMUSG00000053334.6	FICD	ENSMUSG00000053334
ENSMUSG00000053368.13	RXFP2	ENSMUSG00000053368
ENSMUSG00000053388.10	TRIM50	ENSMUSG00000053388
ENSMUSG00000053398.11	PHGDH	ENSMUSG00000053398
ENSMUSG00000053399.9	ADAMTS18	ENSMUSG00000053399
ENSMUSG00000053411.16	CBX7	ENSMUSG00000053411
ENSMUSG00000053414.7	HUNK	ENSMUSG00000053414
ENSMUSG00000053436.14	MAPK14	ENSMUSG00000053436
ENSMUSG00000053441.4	ADAMTS19	ENSMUSG00000053441
ENSMUSG00000053453.8	THOC7	ENSMUSG00000053453
ENSMUSG00000053460.8	GGCX	ENSMUSG00000053460
ENSMUSG00000053465.5	HS6ST3	ENSMUSG00000053465
ENSMUSG00000053469.13	TG	ENSMUSG00000053469
ENSMUSG00000053470.13	KDM3A	ENSMUSG00000053470
ENSMUSG00000053475.5	TNFAIP6	ENSMUSG00000053475
ENSMUSG00000053477.16	TCF4	ENSMUSG00000053477
ENSMUSG00000053483.13	USP21	ENSMUSG00000053483
ENSMUSG00000053490.8	TRIM60	ENSMUSG00000053490
ENSMUSG00000053510.12	NRD1	ENSMUSG00000053510
ENSMUSG00000053519.15	KCNIP1	ENSMUSG00000053519
ENSMUSG00000053536.6	CSTF2T	ENSMUSG00000053536
ENSMUSG00000053550.13	SHISA7	ENSMUSG00000053550
ENSMUSG00000053552.14	EBF4	ENSMUSG00000053552
ENSMUSG00000053559.12	SMAGP	ENSMUSG00000053559
ENSMUSG00000053560.4	IER2	ENSMUSG00000053560
ENSMUSG00000053565.10	EIF3K	ENSMUSG00000053565
ENSMUSG00000053580.16	TANC2	ENSMUSG00000053580
ENSMUSG00000053581.13	ZFAND2A	ENSMUSG00000053581
ENSMUSG00000053604.5	RPIA	ENSMUSG00000053604
ENSMUSG00000053617.11	SH3PXD2A	ENSMUSG00000053617
ENSMUSG00000053626.5	TLL1	ENSMUSG00000053626
ENSMUSG00000053641.9	DENND4A	ENSMUSG00000053641
ENSMUSG00000053644.13	ALDH7A1	ENSMUSG00000053644
ENSMUSG00000053646.13	PLXNB1	ENSMUSG00000053646
ENSMUSG00000053675.8	TGM5	ENSMUSG00000053675
ENSMUSG00000053687.14	DPEP2	ENSMUSG00000053687
ENSMUSG00000053693.16	MAST1	ENSMUSG00000053693
ENSMUSG00000053702.16	NEBL	ENSMUSG00000053702
ENSMUSG00000053716.9	DUSP7	ENSMUSG00000053716
ENSMUSG00000053730.15	TMEM39B	ENSMUSG00000053730
ENSMUSG00000053746.8	PTRH1	ENSMUSG00000053746
ENSMUSG00000053747.9	SOX14	ENSMUSG00000053747
ENSMUSG00000053754.13	CHD8	ENSMUSG00000053754
ENSMUSG00000053768.13	CHCHD3	ENSMUSG00000053768
ENSMUSG00000053769.5	LYSMD1	ENSMUSG00000053769
ENSMUSG00000053773.5	RDH8	ENSMUSG00000053773
ENSMUSG00000053774.8	UBXN7	ENSMUSG00000053774
ENSMUSG00000053797.10	KRT16	ENSMUSG00000053797
ENSMUSG00000053799.6	EXOC6	ENSMUSG00000053799
ENSMUSG00000053801.18	GRWD1	ENSMUSG00000053801
ENSMUSG00000053825.14	PPFIA2	ENSMUSG00000053825
ENSMUSG00000053838.14	NUDCD3	ENSMUSG00000053838
ENSMUSG00000053841.15	TXLNA	ENSMUSG00000053841
ENSMUSG00000053846.4	LIPG	ENSMUSG00000053846
ENSMUSG00000053852.11	ADGRG4	ENSMUSG00000053852
ENSMUSG00000053856.7	DNAJC5G	ENSMUSG00000053856
ENSMUSG00000053870.7	FPGT	ENSMUSG00000053870
ENSMUSG00000053886.4	SH2D4A	ENSMUSG00000053886
ENSMUSG00000053897.15	SLC39A8	ENSMUSG00000053897
ENSMUSG00000053898.12	ECH1	ENSMUSG00000053898
ENSMUSG00000053907.10	MAT2A	ENSMUSG00000053907
ENSMUSG00000053916.4	NANP	ENSMUSG00000053916
ENSMUSG00000053929.16	CYHR1	ENSMUSG00000053929
ENSMUSG00000053930.13	SHISA6	ENSMUSG00000053930
ENSMUSG00000053931.11	CNN3	ENSMUSG00000053931
ENSMUSG00000053950.10	ADNP2	ENSMUSG00000053950
ENSMUSG00000053963.7	STUM	ENSMUSG00000053963
ENSMUSG00000053964.17	LGALS4	ENSMUSG00000053964
ENSMUSG00000053965.10	PDE5A	ENSMUSG00000053965
ENSMUSG00000054003.13	TDRD9	ENSMUSG00000054003
ENSMUSG00000054008.8	NDST1	ENSMUSG00000054008
ENSMUSG00000054013.5	TMEM179	ENSMUSG00000054013
ENSMUSG00000054021.5	SIRT5	ENSMUSG00000054021
ENSMUSG00000054027.7	NT5DC3	ENSMUSG00000054027
ENSMUSG00000054046.7	KLK13	ENSMUSG00000054046
ENSMUSG00000054051.6	ERCC6	ENSMUSG00000054051
ENSMUSG00000054065.12	PKP3	ENSMUSG00000054065
ENSMUSG00000054074.9	SKIDA1	ENSMUSG00000054074
ENSMUSG00000054083.8	CAPN12	ENSMUSG00000054083
ENSMUSG00000054099.11	SLC25A40	ENSMUSG00000054099
ENSMUSG00000054115.11	SKP2	ENSMUSG00000054115
ENSMUSG00000054134.13	UMODL1	ENSMUSG00000054134
ENSMUSG00000054136.5	ADM2	ENSMUSG00000054136
ENSMUSG00000054146.8	KRT15	ENSMUSG00000054146
ENSMUSG00000054150.11	SYNE3	ENSMUSG00000054150
ENSMUSG00000054160.2	NKX2-4	ENSMUSG00000054160
ENSMUSG00000054161.12	FAM83E	ENSMUSG00000054161
ENSMUSG00000054162.15	SPOCK3	ENSMUSG00000054162
ENSMUSG00000054191.8	KLF1	ENSMUSG00000054191
ENSMUSG00000054196.6	CTHRC1	ENSMUSG00000054196
ENSMUSG00000054200.6	FFAR4	ENSMUSG00000054200
ENSMUSG00000054252.17	FGFR3	ENSMUSG00000054252
ENSMUSG00000054256.11	MSI1	ENSMUSG00000054256
ENSMUSG00000054263.11	LIFR	ENSMUSG00000054263
ENSMUSG00000054277.7	ARFGAP3	ENSMUSG00000054277
ENSMUSG00000054280.14	PRR14L	ENSMUSG00000054280
ENSMUSG00000054302.15	EAPP	ENSMUSG00000054302
ENSMUSG00000054309.8	CPSF3	ENSMUSG00000054309
ENSMUSG00000054312.6	MRPS21	ENSMUSG00000054312
ENSMUSG00000054320.16	LRRC36	ENSMUSG00000054320
ENSMUSG00000054321.6	TAF4B	ENSMUSG00000054321
ENSMUSG00000054342.8	KCNN4	ENSMUSG00000054342
ENSMUSG00000054360.4	BSX	ENSMUSG00000054360
ENSMUSG00000054362.9	LEXM	ENSMUSG00000054362
ENSMUSG00000054364.4	RHOB	ENSMUSG00000054364
ENSMUSG00000054383.2	PNMA1	ENSMUSG00000054383
ENSMUSG00000054387.13	MDM4	ENSMUSG00000054387
ENSMUSG00000054400.16	CKLF	ENSMUSG00000054400
ENSMUSG00000054408.9	SPCS3	ENSMUSG00000054408
ENSMUSG00000054409.4	TMEM74	ENSMUSG00000054409
ENSMUSG00000054414.4	SLC30A7	ENSMUSG00000054414
ENSMUSG00000054434.14	TMEM120B	ENSMUSG00000054434
ENSMUSG00000054435.16	GIMAP4	ENSMUSG00000054435
ENSMUSG00000054446.8	CPA1	ENSMUSG00000054446
ENSMUSG00000054452.9	AES	ENSMUSG00000054452
ENSMUSG00000054453.11	SYTL5	ENSMUSG00000054453
ENSMUSG00000054455.4	VAPB	ENSMUSG00000054455
ENSMUSG00000054459.6	VSNL1	ENSMUSG00000054459
ENSMUSG00000054469.13	LCLAT1	ENSMUSG00000054469
ENSMUSG00000054474.15	THNSL2	ENSMUSG00000054474
ENSMUSG00000054477.15	KCNN2	ENSMUSG00000054477
ENSMUSG00000054484.14	TMEM62	ENSMUSG00000054484
ENSMUSG00000054499.9	DEDD2	ENSMUSG00000054499
ENSMUSG00000054509.7	PARP4	ENSMUSG00000054509
ENSMUSG00000054520.15	SH3BP2	ENSMUSG00000054520
ENSMUSG00000054537.8	TMPRSS11E	ENSMUSG00000054537
ENSMUSG00000054555.11	ADAM12	ENSMUSG00000054555
ENSMUSG00000054580.14	PLA2R1	ENSMUSG00000054580
ENSMUSG00000054582.4	PABPC1L	ENSMUSG00000054582
ENSMUSG00000054604.7	CGGBP1	ENSMUSG00000054604
ENSMUSG00000054611.16	KDM2A	ENSMUSG00000054611
ENSMUSG00000054612.4	MGMT	ENSMUSG00000054612
ENSMUSG00000054640.14	SLC8A1	ENSMUSG00000054640
ENSMUSG00000054641.10	MMRN1	ENSMUSG00000054641
ENSMUSG00000054659.13	PM20D2	ENSMUSG00000054659
ENSMUSG00000054662.8	ANO9	ENSMUSG00000054662
ENSMUSG00000054667.7	IRS4	ENSMUSG00000054667
ENSMUSG00000054679.8	SRSF12	ENSMUSG00000054679
ENSMUSG00000054690.17	EMCN	ENSMUSG00000054690
ENSMUSG00000054693.14	ADAM10	ENSMUSG00000054693
ENSMUSG00000054702.14	AP1S3	ENSMUSG00000054702
ENSMUSG00000054720.12	LRRC8C	ENSMUSG00000054720
ENSMUSG00000054723.5	VMAC	ENSMUSG00000054723
ENSMUSG00000054728.16	PHACTR1	ENSMUSG00000054728
ENSMUSG00000054733.9	MSRA	ENSMUSG00000054733
ENSMUSG00000054752.16	FSD1L	ENSMUSG00000054752
ENSMUSG00000054764.9	MTNR1A	ENSMUSG00000054764
ENSMUSG00000054792.15	KLHL18	ENSMUSG00000054792
ENSMUSG00000054793.8	CADM4	ENSMUSG00000054793
ENSMUSG00000054808.15	ACTN4	ENSMUSG00000054808
ENSMUSG00000054814.14	USP46	ENSMUSG00000054814
ENSMUSG00000054823.16	WHSC1L1	ENSMUSG00000054823
ENSMUSG00000054836.12	ELP6	ENSMUSG00000054836
ENSMUSG00000054843.8	ATRNL1	ENSMUSG00000054843
ENSMUSG00000054855.13	RND1	ENSMUSG00000054855
ENSMUSG00000054871.5	TMEM158	ENSMUSG00000054871
ENSMUSG00000054874.12	PCNX3	ENSMUSG00000054874
ENSMUSG00000054889.9	DSP	ENSMUSG00000054889
ENSMUSG00000054892.14	TXK	ENSMUSG00000054892
ENSMUSG00000054901.5	ARHGEF33	ENSMUSG00000054901
ENSMUSG00000054920.12	KLHL5	ENSMUSG00000054920
ENSMUSG00000054932.6	AFP	ENSMUSG00000054932
ENSMUSG00000054934.10	KCNMB4	ENSMUSG00000054934
ENSMUSG00000054942.13	MIGA1	ENSMUSG00000054942
ENSMUSG00000054958.6	NT5C1A	ENSMUSG00000054958
ENSMUSG00000054966.13	LMNTD1	ENSMUSG00000054966
ENSMUSG00000054976.14	NYAP2	ENSMUSG00000054976
ENSMUSG00000054978.3	KBTBD13	ENSMUSG00000054978
ENSMUSG00000054986.13	SEC14L3	ENSMUSG00000054986
ENSMUSG00000054999.2	NAALADL1	ENSMUSG00000054999
ENSMUSG00000055003.14	LRTM2	ENSMUSG00000055003
ENSMUSG00000055013.15	AGAP1	ENSMUSG00000055013
ENSMUSG00000055022.14	CNTN1	ENSMUSG00000055022
ENSMUSG00000055024.12	EP300	ENSMUSG00000055024
ENSMUSG00000055027.17	SMYD1	ENSMUSG00000055027
ENSMUSG00000055041.7	COMMD5	ENSMUSG00000055041
ENSMUSG00000055044.12	PDLIM1	ENSMUSG00000055044
ENSMUSG00000055053.17	NFIC	ENSMUSG00000055053
ENSMUSG00000055065.6	DDX17	ENSMUSG00000055065
ENSMUSG00000055067.15	SMYD3	ENSMUSG00000055067
ENSMUSG00000055095.2	SPINK6	ENSMUSG00000055095
ENSMUSG00000055114.7	ANXA13	ENSMUSG00000055114
ENSMUSG00000055116.8	ARNTL	ENSMUSG00000055116
ENSMUSG00000055128.14	CGRRF1	ENSMUSG00000055128
ENSMUSG00000055137.6	SUGCT	ENSMUSG00000055137
ENSMUSG00000055170.3	IFNG	ENSMUSG00000055170
ENSMUSG00000055177.15	CSTL1	ENSMUSG00000055177
ENSMUSG00000055193.4	KLK15	ENSMUSG00000055193
ENSMUSG00000055197.4	FEV	ENSMUSG00000055197
ENSMUSG00000055200.7	SERTAD3	ENSMUSG00000055200
ENSMUSG00000055204.14	ANKRD17	ENSMUSG00000055204
ENSMUSG00000055214.15	PLD5	ENSMUSG00000055214
ENSMUSG00000055235.11	WDR86	ENSMUSG00000055235
ENSMUSG00000055239.10	KCMF1	ENSMUSG00000055239
ENSMUSG00000055254.14	NTRK2	ENSMUSG00000055254
ENSMUSG00000055296.14	TMEM245	ENSMUSG00000055296
ENSMUSG00000055319.8	SEC23IP	ENSMUSG00000055319
ENSMUSG00000055320.17	TEAD1	ENSMUSG00000055320
ENSMUSG00000055322.15	TNS1	ENSMUSG00000055322
ENSMUSG00000055333.14	FAT2	ENSMUSG00000055333
ENSMUSG00000055334.4	SNUPN	ENSMUSG00000055334
ENSMUSG00000055368.14	SLC6A2	ENSMUSG00000055368
ENSMUSG00000055373.8	FUT9	ENSMUSG00000055373
